QUESTION	UNDERGOER	ENABLER	TRIGGER	RESULT	UNDERSPECIFIED	CLEANED_QUESTION
When one object passes through the shadow of another it is a? 			passes through the shadow of another			When one object passes through the shadow of another it is a? 
How does your body acquire the oxygen the cells in your body need to function? 	body		acquire	oxygen the cells in your body need to function		How does your body acquire the oxygen the cells in your body need to function? 
As water vapor rises in the atmosphere, it cools and changes back to liquid.	water vapor		cools and changes	liquid	rises in the atmosphere	As water vapor rises in the atmosphere, it cools and changes back to liquid.
Tiny drops of liquid form clouds in this process called	tiny drops of liquid		form | process	clouds		Tiny drops of liquid form clouds in this process called
The process in which something changes from a gas state to a liquid state 	gas state		process | changes	liquid state		The process in which something changes from a gas state to a liquid state 
Liquid water becomes a gas called water vapor through the process of <span class="blank"> </span> 	liquid water		process | becomes	gas | water vapor		Liquid water becomes a gas called water vapor through the process of  
<span class="blank"> </span> refers to the movement of Earth around the sun. 	Earth		movement		around the sun	 refers to the movement of Earth around the sun. 
The process in which a snake loses its outer skin is called <span class="blank"> </span>. 	snake		process	loses its outer skin		The process in which a snake loses its outer skin is called . 
The continuous transfer of carbon between the atmosphere and organisms 	carbon		continuous transfer		between the atmoshpere and organisms	The continuous transfer of carbon between the atmosphere and organisms 
What is the process of the movement of water and dissolved materials through the cell membrane? 	water | dissolved materials		process | movement	through the cell membrane		What is the process of the movement of water and dissolved materials through the cell membrane? 
The continuous movement of nitrogen between air, soil, plants and animals. 	nitrogen		continuous movement		between air, soil, plants and animals	The continuous movement of nitrogen between air, soil, plants and animals. 
What make oceans bigger? 	oceans		make	bigger		What make oceans bigger? 
A giraffe's long neck is a(n) 	giraffe's long neck					A giraffe's long neck is a(n) 
A/an <span class="blank"> </span> is something that helps a living thing survive in its environment. 	living thing		helps	survive in its environment		A/an  is something that helps a living thing survive in its environment. 
The process of making a new plant from the joining of a sperm and a egg cell is known as 		joining of a sperm and a egg cell	process	making a new plant		The process of making a new plant from the joining of a sperm and a egg cell is known as 
Offspring come from a single parent during <span class="blank"> </span>. 	single parent		come from	offspring		Offspring come from a single parent during . 
Which of the following is an unwanted change in the environment caused by harmful substances? 		harmful substances		unwanted change in the environment		Which of the following is an unwanted change in the environment caused by harmful substances? 
Colors, patterns and shapes that disguise an animal from predators. 	animal	colors, patterns and shapes	disguise		from predators	Colors, patterns and shapes that disguise an animal from predators. 
If a snake copies another snake it is called 	snake		copies another snake			If a snake copies another snake it is called 
A(n) <span class="blank"> </span> is a modified feature that helps a plant survive in the environment. 	plant	modified feature		survive in the environment		A(n)  is a modified feature that helps a plant survive in the environment. 
Select whether the example is a chemical change or a physical change<br/><br/>Glass breaking 	glass		breaking	separate pieces		Select whether the example is a chemical change or a physical change Glass breaking 
Is burning a chemical change or physical change? 			burning			Is burning a chemical change or physical change? 
spoiling food 	food		spoiling			spoiling food 
squeezing oranges to make orange juice 	oranges		squeezing	orange juice		squeezing oranges to make orange juice 
mixing lemonade powder into water 	lemonade powder		mixing | into water			mixing lemonade powder into water 
mowing the lawn 	lawn		mowing			mowing the lawn 
bleaching your hair 	hair	sunlight | chemical process	bleaching			bleaching your hair 
fireworks exploding 	fireworks	combustion | pressure | decomposition	exploding			fireworks exploding 
corroding metal 	metal		corroding			corroding metal 
Burning a match is a 	match		burning			Burning a match is a 
A change in the way matter looks is called <span class="blank"> </span>? 	matter		change			A change in the way matter looks is called ? 
A reaction that forms water and a salt is called a 			reaction 	water and a salt		A reaction that forms water and a salt is called a 
During <span class="blank"> </span>, autotrophs use light energy to convert carbon dioxide and water into oxygen and energy-rich carbohydrates such as sugars and starches. 	autotrophs	light energy	convert	oxygen and energy-rich carbohydrates such as sugars and starches		During , autotrophs use light energy to convert carbon dioxide and water into oxygen and energy-rich carbohydrates such as sugars and starches. 
There is one more way to deal with our growing garbage problem.			growing garbage problem			There is one more way to deal with our growing garbage problem.
Leaves and grass clippings can be <span class="blank"> </span> or placed in a pile in the backyard.	leaves and grass clippings		placed in a pile in the backyard			Leaves and grass clippings can be  or placed in a pile in the backyard.
They will break down into soil and not have to be collected and take up space in our landfills.				break down into soil		They will break down into soil and not have to be collected and take up space in our landfills.
When a liquid changes to a gas it is called 	liquid		changes	gas		When a liquid changes to a gas it is called 
When you leave a glass of water standing on the counter, water forms on the outside of the glass.	glass of water			water forms on the outside of the glass	on the counter	When you leave a glass of water standing on the counter, water forms on the outside of the glass.
This is an example of <span class="blank"> </span>.						This is an example of .
The movement of water back and forth between air and the Earth's surface is called the<span class="blank"> </span>. 	water		movement		between air and the Earth's surface	The movement of water back and forth between air and the Earth's surface is called the. 
The process by which a liquid changes to a gas 	liquid		process | changes	gas		The process by which a liquid changes to a gas 
The process of planting different crops on the same land in different years to help in adding nutrients back in the soil 			process of planting different crops on the same land	help in adding nutrients back in the soil	in different years	The process of planting different crops on the same land in different years to help in adding nutrients back in the soil 
The process of cutting into a hillside to slow the speed of water flowing down a slope 	hillside		process of cutting	slow the speed of water flowing down a slope		The process of cutting into a hillside to slow the speed of water flowing down a slope 
The process of adding fertilizer to soil to replace nutrients used up by previous crops 	soil		process of adding fertilizer	replace nutrients		The process of adding fertilizer to soil to replace nutrients used up by previous crops 
Drinking lots of salt water can kill a person.	person	lots of salt water	drinking	kill		Drinking lots of salt water can kill a person.
The salt in the water moves to the cells, where there is very little salt.	salt in the water		moves to the cells		where there is very little salt	The salt in the water moves to the cells, where there is very little salt.
As the cells move the water to balance out the salt - so that the salt is equal on both sides - water moves OUT of the cell, and the cell dies.	cells	balance out the salt	move the water	cell dies		As the cells move the water to balance out the salt - so that the salt is equal on both sides - water moves OUT of the cell, and the cell dies.
What causes this to happen?						What causes this to happen?
The final stage of the erosional process in which materials are dropped in another location is called <span class="blank"> </span>. 	materials		final stage of the erosional process	dropped in another location		The final stage of the erosional process in which materials are dropped in another location is called . 
A species that no longer exists. 	species			no longer exists		A species that no longer exists. 
Which is the best example of natureâ??s recycling process? 	nature		recycling process			Which is the best example of nature's recycling process? 
The process of wearing away rocks by natural means is called 	rocks	natural means	process of wearing away			The process of wearing away rocks by natural means is called 
The process of moving sediment by wind, moving water, or ice is 	sediment	wind, moving water, or ice	process of moving			The process of moving sediment by wind, moving water, or ice is 
What is the process that moves pieces of rock and soil? 	pieces of rock and soil		process | moves			What is the process that moves pieces of rock and soil? 
The process of breaking down rocks into smaller particles is called: 	rocks		process of breaking down	smaller particles		The process of breaking down rocks into smaller particles is called: 
Then droplets of water (rain, snow, sleet, or hail) fall back to the earth, this is called: 	droplets of water | rain, snow, sleet, or hail		fall back to the earth			Then droplets of water (rain, snow, sleet, or hail) fall back to the earth, this is called: 
When liquids are heated, this occurs: 	liquids		heated			When liquids are heated, this occurs: 
The process by which a gas changes into a liquid is called <span class="blank"> </span>. 	gas		process | changes	liquid		The process by which a gas changes into a liquid is called . 
What is the third step of the water cycle? 			water cycle			What is the third step of the water cycle? 
What is water vapor in the air called? 	water vapor in the air					What is water vapor in the air called? 
The process of planting grasses between rows of other crops to prevent soil from being washed or blown away 	grasses		process of planting	prevent soil from being washed or blown away		The process of planting grasses between rows of other crops to prevent soil from being washed or blown away 
Bees help flowers reproduces through a process called 	flowers	bees	reproduces | process			Bees help flowers reproduces through a process called 
Mixtures can be separated by all of the following means except which one? 	mixtures		separated			Mixtures can be separated by all of the following means except which one? 
When you rub your hands together very quickly, it produces heat and is called 	you		rub your hands together very quickly	heat		When you rub your hands together very quickly, it produces heat and is called 
The force that pulls two objects toward each other is called <span class="blank"> </span>. 	two s		force | pulls	toward each other		The force that pulls two objects toward each other is called . 
A force that pulls objects toward each other is <span class="blank"> </span>. 	s		force | pulls	toward each other		A force that pulls objects toward each other is . 
A change in an object's position is called: 			change	position		A change in an object's position is called: 
<span class="blank"> </span> can be either a push or a pull. 			push | pull			 can be either a push or a pull. 
The tendency of an object to stay in motion or at rest until a force acts upon it is 			tendency	stay in motion or at rest		The tendency of an object to stay in motion or at rest until a force acts upon it is 
Andy is cooking a piece of ham in a pan. 	piece of ham		cooking		in a pan	Andy is cooking a piece of ham in a pan. What is this an example of? 
<span class="blank"> </span>can either be a push or a pull. 			push | pull			can either be a push or a pull. 
What do we call the process of a seed developing into a plant? 	seed		process | developing	plant		What do we call the process of a seed developing into a plant? 
What process ends with a new and improved plant? 			process	new and improved plant		What process ends with a "new and improved" plant? 
A force that resists motion created by objects rubbing together. 		s rubbing together	force	resists motion		A force that resists motion created by objects rubbing together. 
What is it called when an object is moved from one position to another? 			moved		from one position to another	What is it called when an object is moved from one position to another? 
When we cut down trees or drain wetlands, we do what to the habitats of many living things? 	habitats of many living things	we cut down trees or drain wetlands				When we cut down trees or drain wetlands, we do what to the habitats of many living things? 
To travel from one place to another. 			travel		from one place to another	To travel from one place to another. 
What do you call movements from one location to another? 			movements		from one location to another	What do you call movements from one location to another? 
When closely related living things are bred together, it is called 	closely related living things		bred together			When closely related living things are bred together, it is called 
A push or pull on an object is a/an<span class="blank"> </span>. 			push or pull			A push or pull on an object is a/an. 
The force that keeps us on Earth is <span class="blank"> </span> 			force	keeps us on Earth		The force that keeps us on Earth is  
__________ is the movement of a group of one type of animal from one region to another and back again. 	group of one type of animal		movement		from one region to another and back again	 is the movement of a group of one type of animal from one region to another and back again. 
What causes a magnet to attract and repel? 	magnet			attract and repel		What causes a magnet to attract and repel? 
The process of a liquid becoming a gas is called <span class="blank"> </span> 	liquid		process | becoming	gas		The process of a liquid becoming a gas is called  
Which of the following processes makes it possible for plants to use energy from sunlight to produce their own food? 	plants	use energy from sunlight	processes	produce their own food		Which of the following processes makes it possible for plants to use energy from sunlight to produce their own food? 
To go into a deep sleep. 			deep sleep			To go into a deep sleep. 
Which of the following must all plant and animal species do in order for each species to survive? 	all plant and animal species			survive		Which of the following must all plant and animal species do in order for each species to survive? 
What helps an animal look like another animal to protect it from predators? 	animal	look like another animal		protect it from predators		What helps an animal look like another animal to protect it from predators? 
An adaptation in which an animal looks very much like another animal or an object is a _____________. 	animal		adaptation	looks very much like another animal or an 		An adaptation in which an animal looks very much like another animal or an object is. 
<span class="blank"> </span> is an animal's color or pattern that helps it blend in with its surroundings. 	animal	color or pattern		blend in with its surroundings		 is an animal's color or pattern that helps it blend in with its surroundings. 
The process that forms reproductive cells is called? 			process	reproductive cells		The process that forms reproductive cells is called? 
Which is reproduction that requires a male and female cell? 		male and female cell	reproduction			Which is reproduction that requires a male and female cell? 
The ability to do something is called: 			ability to do something			The ability to do something is called: 
<span class="blank"> </span> is a change of position. 			change of position			 is a change of position. 
The force that pulls objects to the center of the Earth is called? 	s		force | pulls	 to the center of the Earth		The force that pulls objects to the center of the Earth is called? 
When something changes position, it is in? 			changes position			When something changes position, it is in? 
This is required to move an object. 	an 		move			This is required to move an object. 
What is the force that slows down moving things? 	moving things		force	slows down		What is the force that slows down moving things? 
Light can <span class="blank"> </span>off surfaces that it strikes. 	light				off surfaces that it strikes	Light can off surfaces that it strikes. 
Your respiratory system helps you <span class="blank"> </span>. 	you	your respiratory system				Your respiratory system helps you . 
The process by which molten material adds new oceanic crust to the ocean floor 	ocean floor	molten material	process	new oceanic crust		The process by which molten material adds new oceanic crust to the ocean floor 
What process do plants go through to make their own food? 	plants		process | make	food		What process do plants go through to make their own food? 
What is it called when two different organisms form a relationship where they are dependent upon each other? 	two different organisms		form	a relationship where they are dependent upon each other		What is it called when two different organisms form a relationship where they are dependent upon each other? 
When plants use stored sugar for energy, they go through a process called 	plants		process | use stored sugar for energy			When plants use stored sugar for energy, they go through a process called 
A liquid changing to a solid, A solid changing to a liquid, and a liquid changing into a gas are all examples of <span class="blank"> </span> 	liquid | solid		changing	solid | liquid | gas		A liquid changing to a solid, A solid changing to a liquid, and a liquid changing into a gas are all examples of  
What causes sunflowers to bend toward the sunlight? 	sunflowers		bend		toward the sunlight	What causes sunflowers to bend toward the sunlight? 
<span class="blank"> </span> is a process in the water cycle, where water vapor rises into the atmosphere. 	water vapor		process in the water cycle	rises into the atmosphere		 is a process in the water cycle, where water vapor rises into the atmosphere. 
When two substances are combined, this may occur: 	two substances		combined			When two substances are combined, this may occur: 
To take in light 			take in light			To take in light 
The bending of light as it passes from one material into another is 	light	passes from one material into another	bending			The bending of light as it passes from one material into another is 
When light strikes a surface and bounces off, what occurs? 	light		strikes a surface and bounces off			When light strikes a surface and bounces off, what occurs? 
During <span class="blank"> </span>, a light ray changes direction as it passes from one material to another. 	light ray		changes direction		as it passes from one material to another	During , a light ray changes direction as it passes from one material to another. 
What is the name of the process by which most cells divide? 	cells		process | divide			What is the name of the process by which most cells divide? 
Magnets contain a force that <span class="blank"> </span> certain metals like iron. 	certain metals like iron	magnets	force			Magnets contain a force that  certain metals like iron. 
The process of change from an egg to an adult butterfly is ____________. 	egg		process of change	adult butterfly		The process of change from an egg to an adult butterfly is . 
<span class="blank"> </span>is the spinning of a planet on its axis. 	planet		spinning		on its axis	is the spinning of a planet on its axis. 
The spinning of a planet around an imaginary line through its center is called <span class="blank"> </span> 	planet		spinning		around an imaginary line through its center	The spinning of a planet around an imaginary line through its center is called  
To move in a circle around an object is to <span class="blank"> </span> 			move in a circle around an 			To move in a circle around an object is to  
The path Earth makes around the sun is called the 			path Earth makes around the sun			The path Earth makes around the sun is called the 
When a planet moves around the sun, this is called a 	planet		moves		around the sun	When a planet moves around the sun, this is called a 
The movement of an object all the way around another planet is called 			movement		all the way around another planet	The movement of an object all the way around another planet is called 
To change from a solid into a liquid is to 	solid		change	liquid		To change from a solid into a liquid is to 
Being able to tell different sounds apart is called 			tell	different sounds apart		Being able to tell different sounds apart is called 
A long and strong beak that tears flesh is 	flesh	long and strong beak	tears			A long and strong beak that tears flesh is 
A characteristic of an organism that increases its chances of survival in its environment. 	organism		characteristic	increases its chances of survival in its environment		A characteristic of an organism that increases its chances of survival in its environment. 
What process produces sex cells? 			process | produces	sex cells		What process produces sex cells? 
<span class="blank"> </span>is the process of liquid water turning into water vapor. 	liquid water		process	water vapor		is the process of liquid water turning into water vapor. 
The process of changing from a liquid state to a gas state 	liquid state		process of changing	gas state		The process of changing from a liquid state to a gas state 
Babies will <span class="blank"> </span> or get traits from their parents. 	babies	their parents		get traits		Babies will  or get traits from their parents. 
Terracing a hillside can slow __________________________. 	hillside		terracing	slow		Terracing a hillside can slow . 
Rain, sleet, hail, and snow are all part of the <span class="blank"> </span> process in the water cycle. 	rain, sleet, hail, and snow		process in the water cycle			Rain, sleet, hail, and snow are all part of the  process in the water cycle. 
When an object spins on its axis, it <span class="blank"> </span>. 			spins		on its axis	When an object spins on its axis, it . 
The process of change from an egg to an adult butterfly is an example of: 	egg		process of change	adult butterfly		The process of change from an egg to an adult butterfly is an example of: 
Which would cause liquid water to change to a solid? 	liquid water		change	solid		Which would cause liquid water to change to a solid? 
To separate a mixture of paper clips and sand, Joe should use: 	mixture of paper clips and sand		separate			To separate a mixture of paper clips and sand, Joe should use: 
What force is behind all weather on earth? 			force	all weather on Earth		What force is behind all weather on earth? 
The process of plowing furrows across a slope instead of up and down to prevent rainwater from carrying away topsoil down hills 			process of plowing furrows across a slope	prevent rainwater from carrying away topsoil down hills		The process of plowing furrows across a slope instead of up and down to prevent rainwater from carrying away topsoil down hills 
<span class="blank"> </span> is the major change in the body form of an animal during its life cycle. 	body form of an animal		major change		during its life cycle	 is the major change in the body form of an animal during its life cycle. 
When an object orbits another object, it <span class="blank"> </span>. 			orbits another 			When an object orbits another object, it . 
Precipitation that falls in form of balls of ice is called <span class="blank"> </span>. 	balls of ice		precipitation			Precipitation that falls in form of balls of ice is called . 
If plaque is not cleaned off the teeth, it can cause the enamel of your teeth to <span class="blank"> </span>. 	enamel of your teeth	plaque is not cleaned off				If plaque is not cleaned off the teeth, it can cause the enamel of your teeth to . 
Through <span class="blank"> </span> human beings are able to produce new human beings. 	human beings		produce	new human beings		Through  human beings are able to produce new human beings. 
Teeth help us to <span class="blank"> </span>. 	us	teeth				Teeth help us to . 
When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	water		heated	rising into the air as a gas (like water vapor)		When water is heated and it is rising into the air as a gas (like water vapor), this is called: 
Rocks change over time from one type to another.	rocks		change	from one type to another		Rocks change over time from one type to another.
When water particles cool and change from a gas (like water vapor) back to a liquid, this is called: 	water particles | gas | water vapor		cool and change	liquid		When water particles cool and change from a gas (like water vapor) back to a liquid, this is called: 
What starts the change from an igneous rock to a sedimentary rock? 	igneous rock		change	sedimentary rock		What starts the change from an igneous rock to a sedimentary rock? 
<span class="blank"> </span> is the process of water vapor becoming liquid water when it cools. 	water vapor	it cools	process | becoming	liquid water		 is the process of water vapor becoming liquid water when it cools. 
The movement of an animal from one place to another as the seasons change is called 	animal	as the seasons change	movement		from one place to another	The movement of an animal from one place to another as the seasons change is called 
Energy from the sun reaches earth by <span class="blank"> </span>. 	energy from the sun			reaches earth		Energy from the sun reaches earth by . 
The pull that planets and other objects have on each other is called what? 	planets and other s		pull			The pull that planets and other objects have on each other is called what? 
<span class="blank"> </span> is the type of thermal energy transfer that occurs when the you place a cooler object on a heat source to warm the cooler object up. 	cooler 	heat source	thermal energy transfer	warm the cooler  up		 is the type of thermal energy transfer that occurs when the you place a cooler object on a heat source to warm the cooler object up. 
<span class="blank"> </span> is the process of changing liquid water to water vapor. 	liquid water		process of changing	water vapor		 is the process of changing liquid water to water vapor. 
The act of saving, protecting or using resources wisely is called <span class="blank"> </span> 	resources		act of saving, protecting or using			The act of saving, protecting or using resources wisely is called  
<span class="blank"> </span> is the process of liquid water turning into water vapor 	liquid water		process	water vapor		 is the process of liquid water turning into water vapor 
A new carpet pad made from scraps of old carpets is an example of 	scraps of old carpets			new carpet pad		A new carpet pad made from scraps of old carpets is an example of 
If a fire destroys a forest, new plants will grow. 	forest	fire destroys		new plants will grow		If a fire destroys a forest, new plants will grow. 
A period when an animal goes into a long, deep sleep is called 	animal		deep sleep			A period when an animal goes into a long, deep sleep is called 
Waves change a shoreline by erosion and __________. 	shoreline	waves	erosion			Waves change a shoreline by erosion and . 
Thermal energy that travels from the sun to Earth is transferred by 	thermal energy		transferred		travels from the sun to Earth	Thermal energy that travels from the sun to Earth is transferred by 
A new aluminum can made from used cans is an example of 	used cans		made	new aluminum can		A new aluminum can made from used cans is an example of 
Glaciers are slow-moving sheets of ice found on land.	glaciers | slow-moving sheets of ice				found on land	Glaciers are slow-moving sheets of ice found on land.
What process occurs when glacial ice is heated to 5° Celsius?	glacial ice		heated | process			What process occurs when glacial ice is heated to 5 Celsius?
A student is investigating changes in the states of matter.			changes in the states of matter			A student is investigating changes in the states of matter.
The student fills a graduated cylinder with 50 milliliters of packed snow. 	graduated cylinder	50 milliliters of packed snow	fills			The student fills a graduated cylinder with 50 milliliters of packed snow. 
The graduated cylinder has a mass of 50 grams when empty and 95 grams when filled with the snow.	graduated cylinder		mass			The graduated cylinder has a mass of 50 grams when empty and 95 grams when filled with the snow.
During which process in the water cycle does snow fall to the ground?	snow		process in the water cycle	fall to the ground		During which process in the water cycle does snow fall to the ground?
An area received six inches of snow during the winter.	area		received	six inches of snow	during the winter	An area received six inches of snow during the winter.
Before the snow can continue through the water cycle as ground water or runoff, it must first	snow		water cycle	ground water | runoff		Before the snow can continue through the water cycle as ground water or runoff, it must first
Shale is a sedimentary rock that can be metamorphosed into slate by 	shale | sedimentary rock		metamorphosed	slate		Shale is a sedimentary rock that can be metamorphosed into slate by 
Students want to find out at which temperature bean plants grow tallest.	bean plants			grow tallest		Students want to find out at which temperature bean plants grow tallest.
Which science process skill would be used to find this temperature?			science process skill			Which science process skill would be used to find this temperature?
A pot is heated on a stove.	pot	a stove	heated			A pot is heated on a stove.
Which process causes the metal handle of the pot to also become hot?	metal handle of the pot		process	become hot		Which process causes the metal handle of the pot to also become hot?
After a rain, a puddle of water remains on a sidewalk.	puddle of water	after a rain		remains on a sidewalk		After a rain, a puddle of water remains on a sidewalk.
After a day of sunshine, the puddle is gone.	puddle	after a day of sunshine		is gone		After a day of sunshine, the puddle is gone.
Which process is most responsible for the disappearance of the puddle?	puddle		process	disappearance		Which process is most responsible for the disappearance of the puddle?
<span class="blank"> </span>is a trait that helps a living thing survive in its environment. 	living thing		trait	survive in its environment		is a trait that helps a living thing survive in its environment. 
What is the movement of cold, deep ocean water to the ocean's surface? 	cold, deep ocean water		movement		to the ocean's surface	What is the movement of cold, deep ocean water to the ocean's surface? 
Because there are more and more greenhouse gases in the atmosphere, more heat is trapped which makes the Earth warmer.	heat	there are more and more greenhouse gases in the atmosphere	trapped	makes the Earth warmer		Because there are more and more greenhouse gases in the atmosphere, more heat is trapped which makes the Earth warmer.
What is this known as?						What is this known as?
The process by which heat is trapped by the atmoshpere is called the: 	heat	by the atmoshpere	process | trapped			The process by which heat is trapped by the atmoshpere is called the: 
Some animals change a great deal as they mature. 	some animals	as they mature	change			Some animals change a great deal as they mature. 
They have one kind of body when they are young and a different kind of body as an adult.			have one kind of body when they are young and a different kind of body as an adult			They have one kind of body when they are young and a different kind of body as an adult.
What is this process called?			process			What is this process called?
A change in an object's position over time is <span class="blank"> </span>. 	s		change	position		A change in an object's position over time is . 
What is the secretion of sweat glands? 	sweat glands		secretion			What is the secretion of sweat glands? 
How plants change sunlight into food.	plants	sunlight	change	food		How plants change sunlight into food.
What is the process called?			process			What is the process called?
Water that falls to the Earth in various forms: rain, sleet, snow, hail 	water | rain | sleet | snow | hail		falls		to the Earth	Water that falls to the Earth in various forms: rain, sleet, snow, hail 
How much a material opposes, or resists, the flow of electric current. 	material		opposes, or resists, the flow of electric current			How much a material opposes, or resists, the flow of electric current. 
When you make sounds by plucking a rubber band, you make the rubber band move back and forth very quickly.	rubber band	you	make sounds by plucking	make the rubber band move back and forth very quickly		When you make sounds by plucking a rubber band, you make the rubber band move back and forth very quickly.
This movement is called			movement			This movement is called
The back and forth motion of an object 			back and forth motion			The back and forth motion of an object 
The constant process in which water moves between Earth and its atmosphere 	water		process | moves	between Earth and its atmosphere		The constant process in which water moves between Earth and its atmosphere 
When wind or water breaks a rock into smaller pieces, the process is called 	a rock	wind or water	process | breaks	into smaller pieces		When wind or water breaks a rock into smaller pieces, the process is called 
The push of air against its surroundings is called: 	air		push		against its surroundings	The push of air against its surroundings is called: 
Different kinds of <span class="blank"> </span> form different kinds of volcanic mountains. 			form	different kinds of volcanic mountains		Different kinds of  form different kinds of volcanic mountains. 
The condition of the air at a certain place and time is called <span class="blank"> </span>. 	the air		condition		at a certain place and time	The condition of the air at a certain place and time is called . 
Sound is produced by the <span class="blank"> </span>of moving particles. 		moving particles	produced	sound		Sound is produced by the of moving particles. 