QUESTION	UNDERGOER	ENABLER	TRIGGER	THEME	RESULT	MEDIUM	SOURCE	TARGET	LOCATION	DIRECTION
What is the name of the process by which most cells divide? 	cells		divide							
What process produces sex cells? 			produces		sex cells					
When light strikes a surface and bounces off, what occurs? 	light		strikes a surface and bounces off							
When you rub your hands together very quickly, it produces heat and is called 	hands		rub		heat					
Which of the following must all plant and animal species do in order for each species to survive? 	all plant and animal species				each species to survive					
To move in a circle around an object is to <span class="blank"> </span>			move						around an object	
Glaciers are slow-moving sheets of ice found on land. What process occurs when glacial ice is heated to 5Â° Celsius?	glacial ice	heated								
The continuous movement of nitrogen between air, soil, plants and animals.	nitrogen		continuous movement							
The process that forms reproductive cells is called?			form		reproductive cells					
What causes sunflowers to bend toward the sunlight?	sunflowers		bend							toward the sunlight
<span class="blank"> </span> is a process in the water cycle, where water vapor rises into the atmosphere.			water cycle		water vapor rises					
Teeth help us to <span class="blank"> </span>. 		teeth								
The process in which a snake loses its outer skin is called <span class="blank"> </span>. 	snake				loses its outer skin					
Babies will <span class="blank"> </span> or get traits from their parents. 			get	traits			parents	Babies		
When an object orbits another object, it <span class="blank"> </span>. 	object		orbits						another object	
Precipitation that falls in form of balls of ice is called <span class="blank"> </span>. 			Precipitation		balls of ice					
How does your body acquire the oxygen the cells in your body need to function? 		body			acquire the oxygen					
The force that keeps us on Earth is <span class="blank"> </span> 			force		keeps us on Earth					
There is one more way to deal with our growing garbage problem. Leaves and grass clippings can be <span class="blank"> </span>or placed in a pile in the backyard. They will break down into soil and not have to be collected and take up space in our landfills. 	leaves and grass clippings		placed in a pile		break down into soil					
The process of adding fertilizer to soil to replace nutrients used up by previous crops 	soil		adding	fertilizer	replace nutrients used up by previous crops					
The process of planting different crops on the same land in different years to help in adding nutrients back in the soil 	land	different crops	planting	adding nutrients back in the soil						
A giraffe's long neck is a(n) 	giraffe	long neck								
An adaptation in which an animal looks very much like another animal or an object is a _____________. 	animal		adaptation		looks very much like another animal or an object					
Bees help flowers reproduces through a process called 	flowers	bees	reproduces							
What is it called when an object is moved from one position to another? 	object		moved				one position	another		
If a fire destroys a forest, new plants will grow. 	forest	fire destroys			new plants will grow					
What starts the change from an igneous rock to a sedimentary rock? 	igneous rock		change		sedimentary rock					
When we cut down trees or drain wetlands, we do what to the habitats of many living things? 	trees or drain wetlands		cut down							
Rocks change over time from one type to another.	rocks		change		from one type to another					
Students want to find out at which temperature bean plants grow tallest. Which science process skill would be used to find this temperature? 	Students		find	temperature						
The process of cutting into a hillside to slow the speed of water flowing down a slope 	hillside		cutting		slow the speed of water flowing down a slope					
The process of planting grasses between rows of other crops to prevent soil from being washed or blown away 			planting	grasses	prevent soil from being washed or blown away					
What process ends with a new and improved plant? 					new and improved plant					
If plaque is not cleaned off the teeth, it can cause the enamel of your teeth to <span class="blank"> </span>. 	plaque		not cleaned							
When plants use stored sugar for energy, they go through a process called 	plants		use stored sugar		energy					
A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	pot		heated		metal handle of the pot to also become hot					
Andy is cooking a piece of ham in a pan. 	a piece of ham		cooking							
Terracing a hillside can slow __________________________. 	hillslide		terracing							