Which would cause liquid water to change to a solid? 	solid	liquid water	change			Which would cause liquid water to change to a solid?
To separate a mixture of paper clips and sand, Joe should use: 	paper clips		separate	mixture		To separate a mixture of paper clips and sand, Joe should use:
The process of plowing furrows across a slope instead of up and down to prevent rainwater from carrying away topsoil down hills 			process of plowing furrows across a slope	prevent rainwater from hills		The process of plowing furrows across a slope instead of up and down to prevent rainwater from carrying away topsoil down hills
<span class="blank"> </span> is the major change in the body form of an animal during its life cycle. 	animal		major change	body	during its life cycle	is the major change in the body form of an animal during its life cycle.
When an object spins on its axis, it <span class="blank"> </span>. 	object		spins			When an object spins on its axis, it .
When an object orbits another object, it <span class="blank"> </span>. 	object		orbits another object	object it		When an object orbits another object, it .
Precipitation that falls in form of balls of ice is called <span class="blank"> </span>. 			precipitation	of ice		Precipitation that falls in form of balls of ice is called .
If plaque is not cleaned off the teeth, it can cause the enamel of your teeth to <span class="blank"> </span>. 						If plaque is not cleaned off the teeth, it can cause the enamel of your teeth to .
Through <span class="blank"> </span> human beings are able to produce new human beings. 	beings		produce	human beings		Through  human beings are able to produce new human beings.
Teeth help us to <span class="blank"> </span>. 						Teeth help us to .
When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	water		heated	vapor		When water is heated and it is rising into the air as a gas (like water vapor), this is called:
Rocks change over time from one type to another.	Rocks	from type	change			Rocks change over time from one type to another.
When water particles cool and change from a gas (like water vapor) back to a liquid, this is called: 	water		cool and change	gas water vapor liquid		When water particles cool and change from a gas (like water vapor) back to a liquid, this is called:
What starts the change from an igneous rock to a sedimentary rock? 	igneous rock		change	sedimentary rock		What starts the change from an igneous rock to a sedimentary rock?
<span class="blank"> </span> is the process of water vapor becoming liquid water when it cools. 	water vapor		process | becoming	liquid		is the process of water vapor becoming liquid water when it cools.
The movement of an animal from one place to another as the seasons change is called 	animal	seasons change	movement	from one place to another called	from one place to another	The movement of an animal from one place to another as the seasons change is called
Energy from the sun reaches earth by <span class="blank"> </span>. 						Energy from the sun reaches earth by .
<span class="blank"> </span> is the type of thermal energy transfer that occurs when the you place a cooler object on a heat source to warm the cooler object up. 	object	cooler heat to	thermal energy transfer	warm		is the type of thermal energy transfer that occurs when the you place a cooler object on a heat source to warm the cooler object up.
<span class="blank"> </span>is the process of liquid water turning into water vapor. 	water		process	water vapor		is the process of liquid water turning into water vapor.
<span class="blank"> </span> is the process of changing liquid water to water vapor. 	liquid		process of changing	water vapor		is the process of changing liquid water to water vapor.
<span class="blank"> </span> is the process of liquid water turning into water vapor 	water		process	water vapor		is the process of liquid water turning into water vapor
The act of saving, protecting or using resources wisely is called <span class="blank"> </span> 			act of saving, protecting or using			The act of saving, protecting or using resources wisely is called
<span class="blank"> </span>is the process of liquid water turning into water vapor. 	water		process	water vapor		is the process of liquid water turning into water vapor.
<span class="blank"> </span> is the process of changing liquid water to water vapor. 	liquid		process of changing	water vapor		is the process of changing liquid water to water vapor.
<span class="blank"> </span> is the process of liquid water turning into water vapor 	water		process	water vapor		is the process of liquid water turning into water vapor
A new carpet pad made from scraps of old carpets is an example of 						A new carpet pad made from scraps of old carpets is an example of
If a fire destroys a forest, new plants will grow. 						If a fire destroys a forest, new plants will grow.
A period when an animal goes into a long, deep sleep is called 	animal		period			A period when an animal goes into a long, deep sleep is called
Waves change a shoreline by erosion and __________. 	Waves shoreline		erosion			Waves change a shoreline by erosion and .
Thermal energy that travels from the sun to Earth is transferred by 	Thermal energy		transferred		travels from the sun to Earth	Thermal energy that travels from the sun to Earth is transferred by
A new aluminum can made from used cans is an example of 	new aluminum		made			A new aluminum can made from used cans is an example of
Glaciers are slow-moving sheets of ice found on land.					found on land	Glaciers are slow-moving sheets of ice found on land.
What process occurs when glacial ice is heated to 5Â° Celsius?	glacial ice	Celsius	heated | process			What process occurs when glacial ice is heated to 5 Celsius?
A student is investigating changes in the states of matter.		student	changes in the states of matter			A student is investigating changes in the states of matter.
The student fills a graduated cylinder with 50 milliliters of packed snow. 	student	snow	fills	packed		The student fills a graduated cylinder with 50 milliliters of packed snow.
The graduated cylinder has a mass of 50 grams when empty and 95 grams when filled with the snow.	grams		mass	grams		The graduated cylinder has a mass of 50 grams when empty and 95 grams when filled with the snow.
During which process in the water cycle does snow fall to the ground?	water		process in the water cycle	snow fall to the ground		During which process in the water cycle does snow fall to the ground?
An area received six inches of snow during the winter.	area inches	winter	received		during the winter	An area received six inches of snow during the winter.
Before the snow can continue through the water cycle as ground water or runoff, it must first			water cycle	ground water or runoff it must first		Before the snow can continue through the water cycle as ground water or runoff, it must first
Students want to find out at which temperature bean plants grow tallest.						Students want to find out at which temperature bean plants grow tallest.
Which science process skill would be used to find this temperature?			science process skill			Which science process skill would be used to find this temperature?
A pot is heated on a stove.	pot		heated			A pot is heated on a stove.
Which process causes the metal handle of the pot to also become hot?			process	the metal handle of pot to also become hot		Which process causes the metal handle of the pot to also become hot?
After a rain, a puddle of water remains on a sidewalk.						After a rain, a puddle of water remains on a sidewalk.
After a day of sunshine, the puddle is gone.						After a day of sunshine, the puddle is gone.
Which process is most responsible for the disappearance of the puddle?			process			Which process is most responsible for the disappearance of the puddle?
